text,label,prediction,category
"Remember what she said in my last letter? """,3.0,0.17433035622009074,letters
If I wasn't working here.,2.8,-0.1310318341003553,letters
"..""",3.0,0.1548016589385158,letters
Goodwill helps people get off of public assistance.,3.44,0.23883893062015668,letters
Sherry learned through our Future Works class that she could rise out of the mire of the welfare system and support her family.,3.55,0.18831248577374135,letters
Coming to Goodwill was the first step toward my becoming totally independent.,3.6,0.35207616760922766,letters
"I am now... totally off of welfare.""",3.0,-0.7169527546467864,letters
Goodwill prepares people for life-long employment.,3.1,0.9972763680816785,letters
"Here's another story of success from what might seem like an unlikely source: Goodwill's controller, Juli.",3.25,0.8457129415754946,letters
Cornell found a number of employment options that he never dreamed existed after a work-site injury forced him out of his job at a foundry.,3.25,-0.46404415863962034,letters
"He trained in desktop publishing and combined his enthusiastic work ethic with new-found skills in a burgeoning industry. """,3.25,0.5728043741144537,letters
"Dear ,",3.0,0.8817233166489865,letters
"I've got more than a job; I've got a career.""",3.27,0.5061860724228615,letters
"After a lifetime of trials, Donna not only earned her GED at Goodwill, she earned a job here. """,3.57,0.6062427410754896,letters
I rode a bike to Goodwill in the rain and snow.,2.88,-0.05872361305875392,letters
I wanted to be there.,2.7,-0.016123561527245076,letters
"..I had my second chance to change my life.""",3.5,0.3910964819856697,letters
Your gift to Goodwill will help the many people who want to tell their own stories of success.,3.63,1.0952887900457862,letters
Your support will help them go to work.,3.7,0.4771373788770041,letters
Please use the enclosed envelope to give a generous gift to Goodwill today!,3.5,0.9504471910823645,letters
"Sincerely,",3.14,1.1940234604649405,letters
"William A Carter, Chairman Goodwill Industries Foundation",3.1,0.4664855257963915,letters
P.S.,3.0,0.33654329896375446,letters
Your gift is a wise investment in the community.,3.5,1.07019467096838,letters
"For every dollar donated to Goodwill in 1998, we helped our ""graduates"" earn an estimated $102.",3.88,0.41157971656141423,letters
"That money was then spent in a variety of ways, adding fuel to our thriving economy.",3.25,0.7106690429091427,letters
"She tells me that the 3,666 people we helped find jobs in 1998 earned approximately $49 million dollars.",3.7,0.15057143784503632,letters
A few months ago you received a letter from me telling the success stories of people who got jobs with Goodwill's help.,3.4,0.7592150704611204,letters
"In addition to that, by helping them find jobs, Goodwill reduced the state's Public Support tab by an estimated $4 million.",3.37,0.13443109614102233,letters
Your gift to Goodwill will help us do even more this year because your gift will be used to directly support our work.,3.6,0.9823946502001851,letters
What kind of work does Goodwill do?,3.0,0.7991791937089252,letters
Goodwill finds jobs for people with mental and physical disabilities.,3.29,0.364911525363684,letters
"After Maureen's job coach taught her how to do her job in a restaurant, we helped Maureen step out of the shadow sometimes cast over people with physical and mental disabilities and find a fulfilling job smack dab in the middle of society.",3.43,0.18422173489862048,letters
"Every time we help someone find a solution to their employment barrier, the positive effects radiate throughout our community:",3.6,0.6712955147467581,letters
"The business community welcomes not only another worker, but a consumer with increased purchasing power.",3.4,1.1982023052272581,letters
Parents act as role models of self-sufficiency instead of dependency.,3.0,0.4966664369174717,letters
Tax dollars that would have been spent on public assistance are saved.,3.12,0.34026035571639945,letters
You and I know that solutions to difficult problems don't just happen.,2.7,-0.1920259580175993,letters
"At Goodwill, it is the hard work of staff and those who benefit from our services that produces the kind of inspiring results I see every day:",3.8,1.243873765375827,letters
A Goodwill staff member addresses a group of welfare recipients:,3.0,0.6567013617820359,letters
"""You can earn the money to support yourself and your family,"" she says.",3.0,0.4525737043800035,letters
"November 15, 1996",3.1,-0.05309685376165644,letters
"""You can get off welfare.",3.0,0.07377242060966241,letters
I know you can...,3.12,0.30060194973287907,letters
"I did.""",3.1,0.22866511774732312,letters
A participant in a Goodwill program rushes back from a job interview to share the results with his classmates in our desktop publishing training program.,3.0,0.4505163484266945,letters
His job objectives call for him to do it in 30.,2.82,0.08421553337081583,letters
"once his tears have subsided, he confirms what his classmates have already figured out: he just received a job offer -- his first in five years.",3.46,0.36325783826233016,letters
"Addressing a meeting at a neighborhood center, a Goodwill staff member tells the audience how Goodwill can help them find and keep jobs.",3.27,0.6869624571239028,letters
At the next corner he tells five more.,3.09,0.19517068252241943,letters
"In order to develop job skills, a man with some serious disabilities begins working in Goodwill's industrial division.",3.11,-0.06767658818004767,letters
He has no time to waste.,2.86,-0.3023886456185908,letters
It takes a long time for him to gain the self-confidence to work elsewhere in the community.,2.62,-0.14319688076000045,letters
"Eventually, he turns your support into a payoff for all of us.",3.11,0.6462588463377822,letters
He proudly leaves Goodwill to support himself.,3.5,0.4571753722094434,letters
These people and their successes are real.,3.25,0.6933973536091157,letters
Neither do we.,3.0,-0.14752287017879953,letters
Just like the respect we've earned from U.S. News & World Report.,3.0,0.4965840321016288,letters
"With the help of friends like you, Goodwill has continued to adapt our services to meet the human needs of our changing society.",3.4,0.8651569163805652,letters
Real work.,3.0,-0.2244882071020387,letters
Real results.,3.0,-0.057379904440916264,letters
A real difference in people's lives -- in all of our lives.,3.1,0.3613885212927504,letters
The people who can benefit most directly from your generosity have no time to waste.,3.12,0.45911341477256634,letters
Neither do the rest of us who feel the positive results of their success.,3.56,0.00902168018470185,letters
Your support helps provide real solutions.,3.4,0.2411856099900836,letters
Please use the enclosed response card and envelope to give generously to Goodwill today.,3.0,0.8144348940646599,letters
"Sincerely,",3.1,1.1940234604649405,letters
Jack Dustman Board Member and Former Chairman,3.0,-0.0479249495071637,letters
We don't waste time as we are helping the community.,3.29,0.421732731440066,letters
And we don't waste money.,3.1,0.533078883106568,letters
"The gift that I am asking you to make will be used to continue our mission of helping people prepare for, find and keep jobs.",3.2,0.8307726331781289,letters
"In their December, 1995 review of the nation's best charities, U.S. News & World Report called Goodwill one of the five ""Standout Good Guys.""",3.57,0.6711964548408382,letters
"In the short while since Goodwill helped him find his job, Robert has learned to thoroughly clean a motel room in about 40 minutes.",3.4,0.24913090019835452,letters
"The magazine stated that Goodwill (as well as the other standouts) is ""uniquely effective, innovative or valuable.""",3.4,0.9877457841001407,letters
"While I appreciate U.S. News & World Report's endorsement, the true value of your support is measured by the way Goodwill takes on problems that affect all of us.",2.9,0.46066716812924474,letters
And there are a lot of people who face these challenges every day of their lives.,2.9,-0.11576240844767804,letters
So our work must continue.,3.14,0.23000814980453907,letters
Everyone benefits from the work we do together.,3.5,1.0992262955011731,letters
Many people need our help.,2.9,0.13298082849128456,letters
Please continue our important partnership.,3.0,1.0351859382061055,letters
Support Goodwill with a generous donation today.,3.14,0.9731180692435818,letters
"Sincerely,",3.0,1.1940234604649405,letters
James M. McClelland President,3.0,0.14408117751752822,letters
We've helped people break free of the welfare cycle.,3.7,0.17558789790785778,letters
We've found ways for people with disabilities to enter the workforce.,3.38,0.3508578494525705,letters
"December 10, 1996",3.0,-0.039811039779252266,letters
We've expanded Goodwill's proven methods to towns and neighborhoods where they are needed most.,3.4,0.6432984282586965,letters
"Of course, we've played different roles.",3.1,0.04331012719453375,letters
You have helped make Goodwill's work possible with your previous support.,3.6,1.0640075344414015,letters
Dear Mailhouse donor reminder:,3.0,0.39221461863438783,letters
Goodwill has devised the programs that turned your investment into results.,3.2,1.084634014245507,letters
Who has benefited from our partnership?,3.0,0.721837377779829,letters
Everyone has.,2.9,0.3148137775999873,letters
"When you and I help somebody find a job, one more person joins the ranks of tax payers, fewer tax dollars are spent on public assistance and businesses gain another consumer.",3.6,0.3883692488308601,letters
You and I have done some important work together.,3.6,0.8182068509204442,letters
"There are a lot of barriers that keep people from working: physical and mental disabilities, history of welfare dependency and lack of education or self-esteem.",2.67,-0.5000077517479831,letters
"At last, he has found success in a job that he loves.",3.78,1.110796331425453,letters
Now his goals are set on moving up in the company.,3.1,0.5035236812653714,letters
"Every year, thousands of people come to Goodwill.",3.12,0.9213696963571103,letters
"Like Michael, they share two common characteristics.",2.86,0.3988179430575984,letters
They face some barrier to employment and they want to work.,3.0,-0.15950842061741202,letters
"With support from people like you, they can overcome their barriers and earn success and the self-sufficiency that comes with it.",3.38,0.5438813138463579,letters
And then the pay-off begins for the entire community.,3.38,0.27680248100114546,letters
"Last year, participants in Goodwill programs earned --and paid taxes on -- wages of nearly $3.5 million.",3.4,0.45141106179810586,letters
Michael Sims felt that way at age 39 -- the day he earned a job.,3.3,-0.03448498013776044,letters
Their successes at work also saved taxpayers more than three-quarters of a million dollars in public assistance.,3.7,0.47264354635746597,letters
"November 15, 1994",3.0,-0.11524326187248127,letters
"The savings are counted in more ways than dollars and cents, however.",3.0,0.463542688737464,letters
"The families of the new wage earners may feel the accomplishment in terms of a house to live in, money to purchase food -- without food stamps -- and the beginning of a family focused on success, not hopelessness.",3.2,0.6775582980125812,letters
Won't you help make all of these successes possible?,3.0,0.7261594819021292,letters
Please send the largest contribution you can comfortably make.,2.8,0.5114614646166198,letters
Your gift will help give new meaning to the word success -- for people who have seldom had reason to use the word.,3.6,0.8572819426473253,letters
Michael was born with cerebral palsy.,2.14,-0.116952831319143,letters
"Sincerely,",3.25,1.1940234604649405,letters
James M. McClelland President,3.0,0.14408117751752822,letters
P.S.,3.0,0.33654329896375446,letters
Your gift will make a difference.,3.64,0.9469517912803588,letters
"For every dollar of public support Goodwill received last year, we returned $1.59 to the community in the form of earned wages and reduced public assistance payments.",3.6,0.2132708930789946,letters
"Upon entering the work force, he discovered few job opportunities that seemed to match his abilities.",3.3,-0.28470911928313386,letters
For several years he performed packaging and clerical work.,3.0,0.17149201044885903,letters
"Dear ,",3.0,0.8817233166489865,letters
His most recent job lasted only a year before cut-backs eliminated his position.,2.38,-0.663431066116309,letters
For 18 long months Michael could not find a job.,2.22,-1.1147677050936842,letters
Think of your greatest accomplishments.,3.44,1.085078034341054,letters
He resorted to public assistance dollars to survive.,2.7,-0.5858366356714817,letters
"Finally, Michael called Goodwill.",3.1,0.41613505291766817,letters
"At Goodwill, Michael's counselors felt that his personable demeanor could be a major attribute and identified for him a possible job-match where his people skills could shine.",3.6,0.6131170361031191,letters
"After three interviews, Michael proved that he was the right person for the job.",3.6,0.321100836562068,letters
Think of the joy and success they bring to you and your loved ones.,4.0,1.33568845017142,letters
"As the Clubhouse Monitor at Bent Tree Apartments, he now provides customer service for 50 to 60 tenants each night.",3.1,0.47041574942213815,letters
Their complaint: the system discourages working because unemployment provides benefits that many entry-level jobs don't include.,2.6,-0.5323032098609003,letters
Some of the strongest critics of our welfare system are the people who have become dependent on it.,3.0,-0.6862392510412109,letters
That's where you --and Goodwill --come in.,3.1,0.895176822448401,letters
We help people train for and find jobs that make it possible for them to get off of welfare.,3.25,0.131219041790016,letters
"Last year, Goodwill placed 511 people in jobs, more than double the number we placed in 1993.",3.8,0.3716705035983833,letters
"While the debate on welfare reform is gathering like a storm at sea, the people who need jobs are floundering.",2.7,-0.5795574203540178,letters
We need your support to continue getting people off of public assistance.,3.1,-0.12677861311142363,letters
Welfare is not the answer.,2.9,-0.32045113315002066,letters
And welfare reform is an uncertain solution with an unknown starting date.,2.8,-0.27578687141408675,letters
Goodwill works.,3.87,1.1896371170553894,letters
Right now.,2.86,0.09217399719619257,letters
Please give the largest gift you can to Goodwill today.,3.2,1.0276928834433277,letters
"Sincerely, Jack Dustman Chairman",3.0,0.47512750199329695,letters
"With unemployment at its lowest point in years in central Indiana, many people still have a hard time finding meaningful employment.",2.3,-0.24132784591330972,letters
"Some, like Jerry, are ex-offenders.",2.9,-0.39726737148766256,letters
"Some are blind, deaf or have other physical disabilities.",2.57,-0.32419943515049654,letters
More than 100 were homeless.,2.2,-0.691875130379791,letters
"But Goodwill offers hope even to people with numerous obstacles to overcome, like Jerry.",3.4,0.7345932064757529,letters
"With a promising new job at a plastic injection molding manufacturer, his legal troubles in check and a safe place to live, Jerry can get on with the business of building a life for himself and contributing to his community.",3.5,0.4140468066399986,letters
"March 17, 2000",3.0,-0.10627069710752929,letters
"For as long as he needs it, Goodwill will continue to help.",3.0,0.8050742076278892,letters
"He knew he had made a bad mistake, but despite his commitment to rebuilding his life, he just didn't count on the obstacles that would be thrown up in his path.",2.7,-0.7082367467368943,letters
Your support of Goodwill will provide job training and placement services to help the hardest to serve in central Indiana find meaningful employment.,3.5,0.5000473287578878,letters
"And, with your assistance, Goodwill can help employers develop resources to keep workers on the job.",3.43,0.7382864006511811,letters
Please make an investment in the stability of our community by sending a gift to Goodwill.,3.29,0.8538967355443677,letters
Your generosity will help people help themselves.,3.56,0.6164442202499482,letters
"Sincerely,",3.22,1.1940234604649405,letters
James M. McClelland President,3.0,0.14408117751752822,letters
Reality hit when he was unable to reconcile with his wife and ended up on the street.,2.0,-1.0431467135276098,letters
"Name Address City, ST, Zip",3.0,0.24008235103874903,letters
He went to the Center Township Trustee for food stamps until he could find a job and a place to live.,3.0,-0.2847359026497219,letters
The Trustee referred him to the Blue Triangle where he consulted Goodwill's Career Academy staff for job search assistance.,3.2,0.4494193116259459,letters
Dear Name:,3.0,0.7809410327359834,letters
Jerry's Goodwill caseworker found him a job immediately.,3.3,0.35361206641172654,letters
But Jerry's troubles didn't end there.,2.5,-0.5949548775486002,letters
"The seasonal construction job he obtained soon ended, and he returned to Career Academy for help once more.",2.89,-0.16593775274425096,letters
"When Jerry was released from prison, he knew it would take hard work and determination to straighten out his life.",3.0,-0.24533818852404962,letters
"Unemployed, homeless and with a prison record, Jerry now faced going back to prison for failure to pay child support.",2.2,-0.7142783525992226,letters
"Such fund are often used for college tuition, vocational training or a deposit on an apartment.",3.0,0.4553764382565923,letters
"Without private donor support, this Fund doesn't exist.",2.29,-0.4714216019503298,letters
Please take a few minutes to send a donation to help one or more of our children successfully cross that threshold into the future.,3.12,0.44572165010337605,letters
"Sincerely,",3.22,1.1940234604649405,letters
Mary Roth Executive Director,2.9,0.3058422837189195,letters
The young adults who leave Pleasant Run have those same feelings.,3.0,0.017345955021160472,letters
"June 21, 1999",3.0,0.0027456101814131786,letters
Very few have family support to get them started.,2.5,-0.3489509679393094,letters
